tanogocho
changing,1
2287,1
table-1,1
,1
,1
,1
,1
t,1
h,1
l,1
refractive,1
defocus,1
simplify,1
procedure,1
consisting,1
mounted,1
[4,1
,1
fi,1
,1
,1
,1
,1
,1
,1
t,1
,1
,1
,1
n,1
,1
,1
,1
il,1
constant,1
il,1
defocusing,1
actually,1
decreases,1
temperature;,1
expands,1
[4-6],1
,1
tt,1
h,1
,1
specifications,1
measure,1
volume,1
space,1
respond,1
presence,1
target,1
determined,1
ep;,1
depends,1
dimension,1
dƒ,1
effective,1
imager,1
[7]:,1
,1
d,1
confirm,1
3mm,1
zero,1
angles,1
55µm,1
14;,1
cladding,1
125µm,1
20mm,1
alignment,1
transmitting,1
continuously,1
measures,1
free,1
end,1
determine,1
meanwhile,1
use,1
table-2:,1
table-2,1
surf:,1
type,1
unit,1
obj,1
sto,1
2*,1
3*,1
4*,1
ima,1
009,1
678,1
44,1
363,1
524,1
810,1
13,1
632,1
-,1
semi-,1
002,1
conic,1
-1,1
2288,1
furthermore,1
settings,1
designed,1
5µm,1
21352,1
model,1
follow:,1
experimental,1
restricted,1
like,1
reflecting,1
real,1
explain,1
graph,1
310µm,1
50,1
61%,1
100µm,1
consideration,1
figure-6:,1
241,1
severe,1
since,1
practical,1
fig,1
declines,1
1%,1
2°,1
1°,1
for-,1
2029db,1
2-0,1
3o,1
clear,1
indicial,1
figure-6,1
similar,1
great,1
impact,1
8µm,1
2772%,1
2289,1
-20-70oc,1
perfect,1
losses,1
then,1
behavior,1
belong,1
editor,1
values,1
changed,1
arrived,1
70oc,1
93,1
7%,1
0o-9o,1
noted,1
decreasing,1
exponential,1
coupled,1
improves,1
stable,1
non-lensed,1
ld-smf,1
95%,1
degradation,1
dependence,1
optimal,1
however,1
note,1
problem,1
construction,1
processes,1
compensate,1
assembling,1
further,1
worked,1
escalate,1
deceases,1
certain,1
illustrate,1
decrease,1
conclusions,1
paper,1
case,1
via,1
simulated,1
possible,1
confirmed,1
2290,1
indicating,1
conclude,1
vanishes,1
c=0,1
22,1
µm,1
122µ,1
accumulate,1
reduce,1
sensitivity,1
each,1
best,1
happened,1
right,1
our,1
therefore,1
proposed,1
good,1
athermaliztion,1
application,1
increment,1
chromatic,1
45,1
references,1
he,1
shi,1
yuan,1
cong,1
2012,1
instrumentation,1
control,1
isict,1
8th,1
ieee,1
conference,1
11-13,1
july,1
84-87,1
ozyazici,1
2004,1
applicata,1
34:,1
185,1
[3],1
ph,1
rogers,1
38:,1
69,1
[4],1
riedl,1
2001,1
2nd,1
edition,1
society,1
bellingham,1
washington,1
usa,1
131-133,1
[5],1
science,1
3:,1
67,1
[6],1
abdul,1
ala,1
abass,1
mohammed,1
alsatar,1
eng,1
27:,1
1872,1
[7],1
r,1
fischer,1
tadic-galeb,1
2000,1
mcgraw-hill,1
inc,1
2291,1
